,strat_id,init_cash,macd.fast_period,macd.slow_period,macd.signal_period,macd.sma_period,macd.dir_period,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
55,4,1000000,8,13,9,10,14,0.348236446,8.40E-05,0.021397136,2.139713646,192,16.77669302,285560.7773,"AutoOrderedDict([('len', 1794), ('drawdown', 57.37061919764262), ('moneydown', 845571.5722656251)])",57.3706192,1794,0.159422026,416567.15,1416567.151,84,0.642857143,54,30,52464.89048,5.246489048,-80551.23115,-8.055123115,225012.4023,22.50124023,-463713.5498,-46.37135498
56,0,1000000,8,13,9,5,7,0.288284107,6.95E-05,0.017681052,1.768105234,425,22.63470124,390327.1465,"AutoOrderedDict([('len', 2485), ('drawdown', 60.40557214278648), ('moneydown', 875978.6572265625)])",60.40557214,2485,0.139029305,334136.29,1334136.288,118,0.508474576,60,58,46648.36702,4.664836702,-42495.96092,-4.249596092,175433.3984,17.54333984,-213578.9883,-21.35789883
57,43,1000000,12,13,18,5,14,0.2829712,6.83E-05,0.01735239,1.73523901,192,14.22625927,220104.6406,"AutoOrderedDict([('len', 3223), ('drawdown', 56.69350538500776), ('moneydown', 861921.4736328125)])",56.69350539,3223,0.12482835,327066.94,1327066.941,79,0.544303797,43,36,52426.45898,5.242645898,-53535.29986,-5.353529986,320494.4336,32.04944336,-422938.0195,-42.29380195
58,35,1000000,8,26,18,10,21,0.281034513,6.78E-05,0.017232611,1.723261094,3420,22.32116868,380597.5469,"AutoOrderedDict([('len', 3420), ('drawdown', 55.75739220098273), ('moneydown', 950717.544921875)])",55.7573922,3420,0.13204481,324499.32,1324499.315,58,0.568965517,33,25,71966.90447,7.196690447,-82016.34129,-8.201634129,358953.7656,35.89537656,-470501.3418,-47.05013418
59,71,1000000,12,26,18,10,21,0.258059388,6.23E-05,0.015812733,1.581273343,1608,26.41813658,464734.7715,"AutoOrderedDict([('len', 1827), ('drawdown', 37.82941080802699), ('moneydown', 653292.8720703125)])",37.82941081,1827,0.106005153,294415.69,1294415.689,55,0.545454545,30,24,70387.09749,7.038709749,-72007.05318,-7.200705318,351876.9727,35.18769727,-341445.3945,-34.14453945
60,70,1000000,12,26,18,10,14,0.254826725,6.15E-05,0.015613112,1.56131119,1608,28.68945282,519084.8301,"AutoOrderedDict([('len', 1608), ('drawdown', 33.14475987580778), ('moneydown', 547793.943359375)])",33.14475988,1608,0.103875283,290238.04,1290238.036,66,0.5,33,32,73031.09822,7.303109822,-66295.43353,-6.629543353,332328.252,33.2328252,-254325.7031,-25.43257031
61,31,1000000,8,26,18,5,14,0.248607292,6.00E-05,0.015229163,1.522916334,3420,12.54525227,183935.1719,"AutoOrderedDict([('len', 3420), ('drawdown', 52.906936033082275), ('moneydown', 775707.5078125)])",52.90693603,3420,0.112927199,282238.39,1282238.389,71,0.521126761,37,34,59385.24279,5.938524279,-56323.98808,-5.632398808,307674.6563,30.76746563,-428342.998,-42.8342998
62,42,1000000,12,13,18,5,7,0.194204939,4.69E-05,0.011876887,1.187688734,1717,29.47414553,507498.7773,"AutoOrderedDict([('len', 1717), ('drawdown', 35.64944082148534), ('moneydown', 613827.72265625)])",35.64944082,1717,0.076655706,214345.12,1214345.124,43,0.511627907,22,20,77743.78449,7.774378449,-71659.56924,-7.165956924,346133.9883,34.61339883,-200985.2109,-20.09852109
63,33,1000000,8,26,18,10,7,0.18360785,4.43E-05,0.011225183,1.122518337,3420,22.90475458,356975.0996,"AutoOrderedDict([('len', 3420), ('drawdown', 56.62600119515958), ('moneydown', 882527.3525390625)])",56.6260012,3420,0.090776424,201544.54,1201544.545,81,0.481481481,39,42,59104.5795,5.91045795,-50084.14418,-5.008414418,326904.3223,32.69043223,-508739.25,-50.873925
64,32,1000000,8,26,18,5,21,0.181710477,4.38E-05,0.011108542,1.110854226,3420,23.19466029,362169.9883,"AutoOrderedDict([('len', 3420), ('drawdown', 56.05139339671805), ('moneydown', 875207.1484375)])",56.0513934,3420,0.097891689,199266.93,1199266.928,58,0.568965517,33,25,62698.49606,6.269849606,-74791.3377,-7.47913377,326904.3223,32.69043223,-435636.2188,-43.56362188
65,69,1000000,12,26,18,10,7,0.137778133,3.32E-05,0.008411559,0.841155868,3268,27.17976874,428380.7891,"AutoOrderedDict([('len', 3268), ('drawdown', 52.285481290737295), ('moneydown', 824072.34375)])",52.28548129,3268,0.071642032,147720.88,1147720.881,58,0.482758621,28,29,64279.98696,6.427998696,-54217.36975,-5.421736975,319295.7715,31.92957715,-479910.7305,-47.99107305
66,67,1000000,12,26,18,5,14,0.084856128,2.05E-05,0.005172255,0.517225522,3268,32.94327129,534782.1563,"AutoOrderedDict([('len', 3268), ('drawdown', 52.25697682913335), ('moneydown', 848309.765625)])",52.25697683,3268,0.053951514,88560.44,1088560.442,56,0.5,28,27,68964.47262,6.896447262,-67382.86719,-6.738286719,332328.252,33.2328252,-494025.752,-49.4025752
67,55,1000000,12,19,18,5,14,0.072987061,1.76E-05,0.004447191,0.444719111,3420,30.34465614,468625.2207,"AutoOrderedDict([('len', 3420), ('drawdown', 56.832444771428), ('moneydown', 877687.22265625)])",56.83244477,3420,0.047319754,75716.62,1075716.618,63,0.53968254,34,29,53478.995,5.3478995,-60088.59351,-6.008859351,329203.4063,32.92034063,-507597.1602,-50.75971602
68,57,1000000,12,19,18,10,7,0.058036897,1.40E-05,0.003534652,0.353465151,3268,31.07338651,477756.6602,"AutoOrderedDict([('len', 3268), ('drawdown', 54.81402827964844), ('moneydown', 842771.5810546875)])",54.81402828,3268,0.045308706,59754.1,1059754.097,66,0.515151515,34,32,52217.94178,5.221794178,-53614.24762,-5.361424762,316293.4688,31.62934687,-524637.3516,-52.46373516
69,59,1000000,12,19,18,10,21,0.040740452,9.83E-06,0.002479932,0.247993221,3420,35.39047668,570536.2314,"AutoOrderedDict([('len', 3420), ('drawdown', 56.02974226464518), ('moneydown', 903265.5390625)])",56.02974226,3420,0.04693914,41581.73,1041581.73,56,0.571428571,32,24,56761.63507,5.676163507,-73949.60799,-7.394960799,342113.3438,34.21133438,-428947.4092,-42.89474092
70,56,1000000,12,19,18,5,21,0.023041019,5.56E-06,0.001401787,0.140178659,3420,36.52010737,588711.4053,"AutoOrderedDict([('len', 3420), ('drawdown', 57.22161386691001), ('moneydown', 922423.8134765625)])",57.22161387,3420,0.042012004,23308.51,1023308.514,56,0.571428571,32,24,57201.11945,5.720111945,-75296.97119,-7.529697119,342113.3438,34.21133438,-428947.4092,-42.89474092
71,68,1000000,12,26,18,5,21,-0.117583866,-2.84E-05,-0.007123154,-0.712315438,3447,47.61646468,808158.0781,"AutoOrderedDict([('len', 3447), ('drawdown', 61.68874757132209), ('moneydown', 1046996.244140625)])",61.68874757,3447,-0.012903526,-110934.05,889065.9463,53,0.566037736,30,22,55377.09574,5.537709574,-77796.27717,-7.779627717,345360.7324,34.53607324,-498694.5781,-49.86945781
